city,lat,lng,country,population
Tokyo,35.685,139.7514,Japan,35676000
New York,40.6943,-73.9249,United States,19354922
Mexico City,19.4424,-99.131,Mexico,19028000
Mumbai,19.017,72.857,India,18978000
São Paulo,-23.5587,-46.625,Brazil,18845000
Delhi,28.67,77.23,India,15926000
Shanghai,31.2165,121.4365,China,14987000
Kolkata,22.495,88.3247,India,14787000
Los Angeles,34.1139,-118.4068,United States,12815475
Dhaka,23.7231,90.4086,Bangladesh,12797394
Buenos Aires,-34.6025,-58.3975,Argentina,12795000
Karachi,24.87,66.99,Pakistan,12130000
Cairo,30.05,31.25,Egypt,11893000
Rio de Janeiro,-22.925,-43.225,Brazil,11748000
Ōsaka,34.75,135.4601,Japan,11294000
Beijing,39.9289,116.3883,China,11106000
Manila,14.6042,120.9822,Philippines,11100000
Moscow,55.7522,37.6155,Russia,10452000
Istanbul,41.105,29.01,Turkey,10061000
Paris,48.8667,2.3333,France,9904000
Seoul,37.5663,126.9997,"Korea, South",9796000
Lagos,6.4433,3.3915,Nigeria,9466000
Jakarta,-6.1744,106.8294,Indonesia,9125000
Guangzhou,23.145,113.325,China,8829000
Chicago,41.8373,-87.6861,United States,8675982
London,51.5,-0.1167,United Kingdom,8567000
Lima,-12.048,-77.0501,Peru,8012000
Tehran,35.6719,51.4243,Iran,7873000
Kinshasa,-4.3297,15.315,Congo (Kinshasa),7843000
Bogota,4.5964,-74.0833,Colombia,7772000
Shenzhen,22.5524,114.1221,China,7581000
Wuhan,30.58,114.27,China,7243000
Hong Kong,22.305,114.185,Hong Kong,7206000
Tianjin,39.13,117.2,China,7180000
Chennai,13.09,80.28,India,7163000
Taipei,25.0358,121.5683,Taiwan,6900273
Bangalore,12.97,77.56,India,6787000
Bangkok,13.75,100.5166,Thailand,6704000
Lahore,31.56,74.35,Pakistan,6577000
Chongqing,29.565,106.595,China,6461000
Miami,25.784,-80.2102,United States,6381966
Hyderabad,17.4,78.48,India,6376000
Dallas,32.7937,-96.7662,United States,5733259
Santiago,-33.45,-70.667,Chile,5720000
Philadelphia,40.0076,-75.134,United States,5637884
Belo Horizonte,-19.915,-43.915,Brazil,5575000
Madrid,40.4,-3.6834,Spain,5567000
Houston,29.7868,-95.3905,United States,5446468
Ahmedabad,23.0301,72.58,India,5375000
